Arquivo,HashSHA256,TamanhoBytes,DataHora
CensoEscolarMicrodados2024.xlsx,8e1922a2ec889588c1d8264481916257e3ed780e56a23ffb3b5ba2380b8b2459,1458122,2026-09-16 12:18:51
CensoEscolarMicrodados2025.xlsx,cd59db18cc8d88c32d8544e74d3f5a2774472f5edd43236446712f3b9e202e53,1458619,2026-09-16 12:18:51
Fluencia2025.xlsx,7048f9f4943bd3419d4680de26fa857dabfb53ef27439a68569afc9421717e75,97590,2026-09-16 12:18:51
IDEB_Escolas2025.xlsx,d2656a9168daa190a602f76f2aeb4d76d3417735ec8d188776d7b815ba58e532,115339,2026-09-16 12:18:51
IDEB_Municipios2025.xlsx,45399b6ab804bca7b039134d9fec3e914ed3008ade68ebbf9c2a43e3c0c703da,20005,2026-09-16 12:18:51
PAEBES_2024_2025.xlsx,576cfce3759773ae14297d47bdf8f077fcb20592dd6c844a82c9cd8545e553b1,1225390,2026-09-16 12:18:51
PAEBES_ALFA_2024_2025.xlsx,72ee99bc3d0209d555cab0985fd2cf1775a69ce4ed38bb8934405a30eead623f,1047846,2026-09-16 12:18:51
TaxaRendimento_Escola2024.xlsx,b66985e0080497dbf100a06c12cb29053e56904f7c5c474c581e7584ff4eee47,131962,2026-09-16 12:18:51
TaxaRendimento_Escola2025.xlsx,4a211ad2d7c8467fb5bfa9bc0961f9455befb18bb0e5c8659902be21da46271f,130973,2026-09-16 12:18:51
TaxaRendimento_Municipios2024.xlsx,70b2a4d762042fe86de6574f18b316a6f65363d57b5dd955284cf1f3797ff5a6,26592,2026-09-16 12:18:51
TaxaRendimento_Municipios2025.xlsx,8cc3499674dd9ef1abe4461f9a0dea463fba4e8b4ef4554b21769988366579b7,26320,2026-09-16 12:18:51
IDEB_Municipios2025.xlsx,ad066805ab2476928f5da2435b4cfa6450d0caebf593c7db17e7184ab248be59,19898,2026-09-16 14:05:56
